               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031664,            0.024046,           0.0016584,             0.94596,              0.9891,              0.9906,             0.74501,            0.027767,            0.014196,          0.00098983,            0.006535,            0.006535,            0.006535
                  37,               0.033,            0.025501,           0.0015133,             0.97559,              0.9918,             0.99414,             0.70472,            0.024039,            0.014123,          0.00096797,            0.006436,            0.006436,            0.006436
                  38,            0.031647,            0.028166,           0.0016652,             0.94293,             0.98642,              0.9833,             0.68277,            0.025454,            0.013935,          0.00097628,            0.006337,            0.006337,            0.006337
                  39,            0.033513,            0.022105,           0.0018133,             0.96826,             0.98099,             0.99272,             0.69123,            0.024292,             0.01388,            0.001076,            0.006238,            0.006238,            0.006238
                  40,            0.028631,            0.023862,           0.0020224,             0.91853,             0.97829,              0.9886,             0.66234,            0.024785,            0.014029,           0.0011176,            0.006139,            0.006139,            0.006139
                  41,            0.033426,             0.02351,           0.0019948,             0.97664,              0.9945,             0.99314,             0.72531,            0.021046,            0.013412,           0.0012119,             0.00604,             0.00604,             0.00604
                  42,            0.030553,            0.025572,           0.0020649,             0.98369,             0.99593,             0.99486,             0.73944,            0.019431,            0.013379,           0.0012525,            0.005941,            0.005941,            0.005941
                  43,            0.028495,            0.022365,           0.0019463,             0.93325,             0.99094,             0.99322,             0.73052,            0.022904,            0.013452,           0.0012617,            0.005842,            0.005842,            0.005842
                  44,            0.027088,            0.025351,           0.0018722,              0.9024,             0.98621,             0.98819,             0.69243,            0.023096,            0.013661,             0.00118,            0.005743,            0.005743,            0.005743
                  45,            0.029361,            0.020953,           0.0016822,             0.98937,             0.99916,             0.99461,             0.74121,            0.023003,            0.013145,           0.0010898,            0.005644,            0.005644,            0.005644
                  46,            0.029691,            0.023569,           0.0017362,             0.99599,              0.9973,             0.99464,             0.74645,            0.017351,            0.012477,           0.0010697,            0.005545,            0.005545,            0.005545
                  47,            0.028934,            0.023835,           0.0015838,             0.99628,              0.9973,             0.99481,             0.75095,            0.019484,            0.012623,           0.0010074,            0.005446,            0.005446,            0.005446
                  48,             0.02575,            0.023074,           0.0014403,             0.98586,             0.99792,             0.99411,             0.74932,            0.020802,            0.012857,          0.00092867,            0.005347,            0.005347,            0.005347
                  49,            0.028818,            0.024231,            0.001658,             0.99425,                   1,             0.99478,             0.76258,            0.018734,            0.012678,          0.00087039,            0.005248,            0.005248,            0.005248
                  50,            0.025355,            0.020636,           0.0013682,             0.99394,                   1,             0.99464,             0.77205,            0.017323,            0.012068,          0.00087484,            0.005149,            0.005149,            0.005149
                  51,            0.027481,            0.021075,           0.0013393,             0.98256,                   1,             0.99438,             0.71489,            0.019058,            0.012518,          0.00082549,             0.00505,             0.00505,             0.00505
                  52,             0.02579,            0.021291,           0.0016575,             0.98186,                   1,             0.99432,             0.76326,            0.021593,            0.012472,          0.00081735,            0.004951,            0.004951,            0.004951
                  53,            0.026558,            0.022451,           0.0012549,             0.99291,             0.99991,             0.99289,             0.77992,             0.01727,            0.012026,          0.00080538,            0.004852,            0.004852,            0.004852
                  54,            0.026436,            0.022229,           0.0013458,             0.99603,              0.9973,             0.99467,             0.75841,            0.015809,            0.011932,          0.00080874,            0.004753,            0.004753,            0.004753
                  55,            0.026274,             0.01853,           0.0013269,             0.99551,                   1,             0.99478,             0.80109,            0.017588,            0.011694,          0.00083207,            0.004654,            0.004654,            0.004654
                  56,             0.02397,            0.022512,           0.0012754,             0.99607,                   1,             0.99458,             0.79191,            0.016222,            0.011946,          0.00078721,            0.004555,            0.004555,            0.004555
                  57,            0.024358,            0.019315,           0.0013481,             0.99542,             0.99937,             0.99458,              0.7934,            0.017451,            0.011697,          0.00077448,            0.004456,            0.004456,            0.004456
